date,id,name,odd,supername,hypername
2023-09-08 22:06:23.668546,1843311789,Prachař David,20.0,,Vítěz
2023-09-09 00:20:44.541801,1843311784,Krajčo Richard,3.5,,Vítěz
2023-09-09 00:20:44.541801,1843311782,Adamczyková Eva,5.0,,Vítěz
2023-09-09 00:20:44.541801,1843311788,Adamczyk Marek,7.0,,Vítěz
2023-09-09 00:20:44.541801,1843311785,Kubelková Iva,7.0,,Vítěz
2023-09-09 00:20:44.541801,1843311786,Mašková Tereza Anna,8.0,,Vítěz
2023-09-09 00:20:44.541801,1843311783,Chýlková Ivana,9.0,,Vítěz
2023-09-09 00:20:44.541801,1843311780,Hradilek Vavřinec,12.0,,Vítěz
2023-09-09 00:20:44.541801,1843311781,Pavlovičová Darija,12.0,,Vítěz
2023-09-09 00:20:44.541801,1843311787,Maršálek Josef,20.0,,Vítěz
2023-09-09 00:20:44.541801,1843311789,Prachař David,20.0,,Vítěz
2023-09-09 02:09:06.073984,1843311784,Krajčo Richard,3.5,,Vítěz
2023-09-09 02:09:06.073984,1843311782,Adamczyková Eva,5.0,,Vítěz
2023-09-09 02:09:06.073984,1843311788,Adamczyk Marek,7.0,,Vítěz
2023-09-09 02:09:06.073984,1843311785,Kubelková Iva,7.0,,Vítěz
2023-09-09 02:09:06.073984,1843311786,Mašková Tereza Anna,8.0,,Vítěz
2023-09-09 02:09:06.073984,1843311783,Chýlková Ivana,9.0,,Vítěz
2023-09-09 02:09:06.073984,1843311780,Hradilek Vavřinec,12.0,,Vítěz
2023-09-09 02:09:06.073984,1843311781,Pavlovičová Darija,12.0,,Vítěz
2023-09-09 02:09:06.073984,1843311787,Maršálek Josef,20.0,,Vítěz
2023-09-09 02:09:06.073984,1843311789,Prachař David,20.0,,Vítěz
2023-09-09 06:06:55.956361,1843311784,Krajčo Richard,3.5,,Vítěz
2023-09-09 06:06:55.956361,1843311782,Adamczyková Eva,5.0,,Vítěz
2023-09-09 06:06:55.956361,1843311788,Adamczyk Marek,7.0,,Vítěz
2023-09-09 06:06:55.956361,1843311785,Kubelková Iva,7.0,,Vítěz
2023-09-09 06:06:55.956361,1843311786,Mašková Tereza Anna,8.0,,Vítěz
